LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-3, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,CC:ED:DC:57:C0:A1,-28, ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-60,,0.000000,0.000000,0.000,0.000,Client
